key	generate	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override	override_icon	is_large_dilemma
#dilemmas_tables;3;db/dilemmas_tables/!!adamrogue_mvp_dilemmas.tsv										
adamrogue_mvp_reward_dilemma	false	dummy	dummy	army_morale_up	false	Event				false
adamrogue_mvp_battle_dilemma	false	dummy	dummy	enemy_spotted	false	Event				false
adamrogue_mvp_equipment_reward_dilemma	false	dummy	dummy	army_morale_up	false	Event				false
adamrogue_mvp_destination_dilemma	false	dummy	dummy	plus_event_public_order	false	Event				false
adamrogue_mvp_army_preview_dilemma	false	dummy	dummy	army_morale_up	false	Event				false
adamrogue_mvp_hero_reward_dilemma	false	dummy	dummy	agent	false	Event				false
adamrogue_mvp_hero_reward_full_dilemma	false	dummy	dummy	warning	false	Event				false
adamrogue_mvp_opening_dilemma	false	dummy	dummy	story_panels/chd_drill_launch	false	Event				true
adamrogue_mvp_elite_battle_dilemma	false	dummy	dummy	enemy_spotted	false	Event				false
adamrogue_mvp_first_defeat_dilemma	false	dummy	dummy	story_panels/chd_drill_launch	false	Event				true
adamrogue_mvp_game_over_dilemma	false	dummy	dummy	story_panels/chd_drill_launch	false	Event				true
